Job number,Title,Funder,Start date,End date,Duration,Project lead,Researcher,Researcher,DDR period,Data source
Null,Function and design of non-surgical equipment,Null,1962,Null,Null,Bruce Archer,,,"DRU, out of scope","Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Ward medicine trolley,Null,1962,Null,Null,Kenneth Agnew,,,"DRU, out of scope","Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,General purpose hospital bedstead,Null,1964,Null,Null,Kenneth Agnew,,,"DRU, out of scope","Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Operating theatre pedal bin,Null,1966,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Suspended ward equipment,Null,1966,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Range of hospital beds,Null,1966,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Hospital equipment survey,Null,1966,Null,Null,Gillian Patterson,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Safety in machinery design,Null,1966,Null,Null,Anthony Smallhorn,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Co-ordinated system of street equipment,Null,1966,Null,Null,Stephen Bartlett,Alan Brunsdon,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Automotive passenger seat,Null,1966,Null,Null,Joseph Koncelik,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Window design,Null,1966,Null,Null,Michel La Rue,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Centralising information on equipment for the disabled,Null,1966,Null,Null,Gillian Patterson,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Suitability of industrialised building systems to conditions in Mexico,Null,1967,Null,Null,Elizabeth Garcia,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Bath and bathroom design,Null,1967,Null,Null,Kenneth Claxton,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Passive resonator system for hospital operating theatres,Null,1967,Null,Null,Karl Achim Czemper,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Home nursing bed,Null,1967,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Post-amputation bed,Null,1967,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Application of steel in components for industrialised housing,Null,1968,Null,Null,Patrick Purcell,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Developments in the uses of plastics in design,Null,1968,Null,Null,Richard Langdon,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Design of hospital commodes,Null,1968,Null,Null,Kenneth Agnew,Pamela Rogers,Douglas Tomkin,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Computer-aided design of window-wall system,Null,1968,Null,Null,Patrick Purcell,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Application of computers in the construction industry,Null,1968,Null,Null,Kenneth Claxton,Karl Achim Czemper,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
Null,Post-amputation socket-casting table,Null,1969,Null,Null,Kenneth Agnew,,,ID(E)RU,"Archer, B. (1981). A view of the nature of design research. Appendix A"
